pride_national,pride_religious,strongleader,limitedelections,erdoganmission,erdoganinspiring,akpstate,akpmuslims,trust_religiousauthority,trust_presidentialsystem,success_erdogan,success_economyminister,policy_povertyreduction,policy_economy,policy_internalsecurity,ci_lifequality,ri_system_1,regimevoter
100,100,72,80,80,80,40,60,80,80,80,60,60,60,80,60,4,1
72,60,44,60,72,68,40,60,60,44,60,60,60,60,60,40,2.8,1
20,24,20,20,20,20,20,20,20,20,24,20,20,20,20,20,1,0
40,100,24,20,40,100,20,40,20,20,60,40,28,20,24,20,1,0
80,80,80,80,100,92,100,100,100,96,60,60,100,100,100,80,5,1
100,80,40,60,20,20,20,20,20,20,60,60,20,20,60,20,1,0
100,100,80,92,100,100,92,80,100,100,100,100,100,60,92,100,5,1
100,100,80,60,100,100,100,100,100,80,100,60,60,60,100,20,5,1
100,100,60,100,80,20,20,20,20,40,40,20,20,20,40,20,1,1
100,100,100,100,100,100,80,100,100,100,100,80,80,80,100,80,5,1
20,100,80,80,40,40,20,80,40,20,80,20,20,20,80,40,4,1
68,80,80,80,100,100,100,100,100,100,100,100,80,80,100,60,4,1
20,100,20,20,20,60,60,20,20,20,20,20,20,40,40,20,1,0
60,100,60,64,100,100,100,96,100,100,100,100,20,88,100,100,5,1
100,60,20,20,40,20,20,20,20,20,20,20,20,20,20,20,1,0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,1
100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,5,1
100,100,20,40,60,40,60,20,60,60,60,40,40,40,40,40,2,1
100,100,100,100,100,100,100,100,100,100,40,80,100,80,80,100,5,1
100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,5,1
100,100,20,20,100,100,100,100,20,80,76,60,60,60,80,60,4,1
60,100,60,80,100,100,100,100,100,100,100,80,60,68,60,100,5,1
100,100,80,100,20,100,20,20,80,80,100,72,60,60,60,80,1,1
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,100,100,100,100,100,100,80,96,100,80,80,76,84,100,4.4,1
100,100,80,60,100,100,100,80,80,100,100,80,80,80,80,80,3,1
60,88,60,60,60,60,60,60,72,80,56,60,48,56,72,60,3,1
84,80,40,20,100,60,40,80,80,100,52,48,48,56,56,40,2,0
60,40,20,20,52,20,20,36,20,20,20,20,20,20,32,20,1,0
100,100,60,60,100,100,100,100,60,100,96,60,80,80,80,80,4,1
100,100,100,60,60,60,80,100,80,60,80,80,60,60,60,60,4,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,5,1
100,100,60,68,68,56,48,72,68,60,72,44,20,40,60,40,3.2,0
80,100,80,100,100,100,100,100,100,80,100,60,60,40,60,60,3,1
100,100,20,20,20,20,20,20,20,20,20,60,60,60,60,40,1,0
100,100,100,100,100,100,100,100,40,80,100,60,100,60,60,40,5,1
84,92,80,80,100,60,100,100,96,96,100,84,88,60,92,100,3.4,1
40,20,20,20,100,20,20,20,20,20,40,28,20,20,80,60,1,0
100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,80,5,1
100,100,88,96,100,100,100,80,60,100,100,96,100,100,100,100,5,1
100,100,80,80,40,20,40,80,80,60,40,60,40,40,40,100,3,0
100,100,100,60,100,100,100,100,100,100,100,80,80,80,100,80,5,1
100,100,84,88,100,88,100,88,100,100,100,80,100,92,96,100,4.4,1
60,60,20,20,20,20,20,20,40,20,20,40,20,20,40,40,2,0
100,100,20,80,40,20,20,20,20,20,20,20,20,20,60,20,2,0
60,100,100,40,52,40,20,36,44,40,60,60,20,40,60,40,2,1
20,64,40,40,52,40,24,20,20,20,36,20,20,20,20,20,1,0
100,20,20,20,100,20,20,20,20,20,20,24,20,20,40,40,1,0
100,48,20,24,20,20,20,20,40,28,36,20,28,28,36,40,1,0
60,40,20,40,20,20,20,20,20,20,20,20,20,20,40,20,1,1
20,20,20,20,100,20,20,20,20,20,20,20,20,20,100,20,1,0
100,100,24,100,20,20,20,60,20,20,60,40,20,20,60,20,2,0
100,40,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,20,20,20,20,20,20,40,20,40,40,20,40,60,40,2,1
